FoilID,Total_Grade,printingDay,toKobeday,QCday,toCERNday,R_grade,R_mean[Mohm/sq],R_rms,GoodRatio[%],Max,Min,ratio_mu[CH/JP],ratio_rms[CH/JP],width_grade,width_mean[um],width_rms,pitch_grade,pitch_mean[um],pitch_rms,eta[mm]
SE6_00063,nan,nan,nan,nan,nan,B,1.41,0.37,98.9,2.7,0.8,nan,nan,A,301.5,17.2,A,425.8,13.8,472.4
SE6_00064,nan,nan,nan,nan,nan,B,1.46,0.42,97,4.85,0.9,nan,nan,A,303.7,17.1,A,425.7,14,472.3
SE6_00065,nan,nan,nan,nan,nan,A,1.25,0.29,99,3.22,0.82,nan,nan,A,305.5,17.3,A,425.7,14.1,472.3
SE6_00066,nan,nan,nan,nan,nan,A,1.2,0.27,99.5,3.18,0.77,nan,nan,A,307.3,17.6,A,425.6,14.2,472.3
SE6_00067,nan,nan,nan,nan,nan,A,1.33,0.42,99,2.68,0.62,nan,nan,A,308.1,17.4,A,425.6,14.2,472.2
SE6_00068,nan,nan,nan,nan,nan,B,1.31,0.44,95.9,5.47,0.68,nan,nan,A,310.8,18,A,425.7,14.5,472.3
SE6_00069,nan,nan,nan,nan,nan,B,1.34,0.47,96,3.34,0.71,nan,nan,A,313.4,18,A,425.6,14.8,472.3
SE6_00070,nan,nan,nan,nan,nan,A,1.28,0.42,99,2.61,0.72,nan,nan,A,313.1,17.7,A,425.7,14.6,472.4
SE6_00071,nan,nan,nan,nan,nan,B,1.2,0.4,98,3.19,0.62,nan,nan,A,310.9,18.6,A,425.6,15.9,472.3
SE6_00072,nan,nan,nan,nan,nan,B,1.35,0.48,97.5,3.29,0.71,nan,nan,A,313.8,17.9,A,425.6,14.6,472.4
SE6_00073,nan,nan,nan,nan,nan,A,1.29,0.42,99.4,2.7,0.65,nan,nan,A,312.1,17.6,A,425.7,14.5,472.4
